0.0243330 0.4428290 -0.0721490 ; 0.0242690 0.4312070 -0.0283010
0.0256830 0.5122010 -0.6717450 ; 0.0242060 0.4630020 -0.1170720
0.0298680 0.4827310 -0.1177940 ; 0.0256830 0.5122010 -0.6717450
0.0242690 0.4312070 -0.0283010 ; 0.0095550 0.4189170 -0.0278630
0.0095550 0.4189170 -0.0278630 ; 0.0235790 0.4159020 0.0261090
0.0092800 0.4036200 0.0262480 ; 0.0235790 0.4159020 0.0261090
0.0095550 0.4189170 -0.0278630 ; 0.0092800 0.4036200 0.0262480
0.0095990 0.4304310 -0.0716600 ; 0.0242690 0.4312070 -0.0283010
0.0095990 0.4304310 -0.0716600 ; 0.0095550 0.4189170 -0.0278630
0.0100560 0.4993430 -0.6716990 ; 0.0095270 0.4507940 -0.1166140
0.0095270 0.4507940 -0.1166140 ; 0.0256830 0.5122010 -0.6717450
-0.0000100 0.5000130 -0.6712900 ; 0.0095270 0.4507940 -0.1166140
-0.0000100 0.4510770 -0.1165900 ; 0.0095270 0.4507940 -0.1166140
0.0084970 0.4848190 0.1676570 ; -0.0000100 0.4845210 0.1676930
-0.0000100 0.4845210 0.1676930 ; 0.0091750 0.4675730 0.0256140
0.0091750 0.4675730 0.0256140 ; 0.0242790 0.4707990 -0.0296790
0.0289830 0.4357660 0.0258940 ; 0.0266960 0.4530160 0.1670920
0.0266960 0.4530160 0.1670920 ; 0.0234220 0.4555080 0.0257130
0.0266960 0.4530160 0.1670920 ; 0.0216420 0.4727640 0.1674180
0.0235790 0.4159020 0.0261090 ; 0.0215560 0.4334310 0.1668060
0.0215560 0.4334310 0.1668060 ; 0.0289830 0.4357660 0.0258940
0.0215560 0.4334310 0.1668060 ; 0.0266960 0.4530160 0.1670920
0.0092800 0.4036200 0.0262480 ; 0.0084330 0.4215860 0.1666290
0.0084330 0.4215860 0.1666290 ; 0.0235790 0.4159020 0.0261090
0.0084330 0.4215860 0.1666290 ; 0.0215560 0.4334310 0.1668060
0.0105240 0.5686540 -0.6711170 ; -0.0000100 0.5689940 -0.7336750
0.0105240 0.5686540 -0.6711170 ; -0.0000100 0.5687730 -0.6714350
0.0101750 0.5673570 -0.6719260 ; -0.0000100 0.5667050 -0.6715700
-0.0000100 0.5687730 -0.6714350 ; 0.0101750 0.5673570 -0.6719260
-0.0000100 0.4306680 -0.0715780 ; 0.0095990 0.4304310 -0.0716600
0.0095270 0.4507940 -0.1166140 ; -0.0000100 0.4306680 -0.0715780
0.0104840 0.4990050 -0.6861530 ; -0.0000100 0.4976260 -0.6714350
0.0104840 0.4990050 -0.6861530 ; -0.0000100 0.4990940 -0.6858190
-0.0000100 0.5360670 -0.7244500 ; 0.0267730 0.5559160 -0.7324480
-0.0000100 0.5360670 -0.7244500 ; 0.0332450 0.5347760 -0.7256720
-0.0000100 0.5131280 -0.7063890 ; 0.0271290 0.5128560 -0.7075840
0.0271290 0.5128560 -0.7075840 ; -0.0000100 0.5360670 -0.7244500
0.0104840 0.4990050 -0.6861530 ; -0.0000100 0.5131280 -0.7063890
0.0095990 0.5149680 -0.1187820 ; -0.0000100 0.5667050 -0.6715700
-0.0000100 0.4038870 0.0262800 ; 0.0092800 0.4036200 0.0262480
0.0095550 0.4189170 -0.0278630 ; -0.0000100 0.4038870 0.0262800
0.0095550 0.4189170 -0.0278630 ; -0.0000100 0.4191760 -0.0278060
0.0095990 0.4304310 -0.0716600 ; -0.0000100 0.4191760 -0.0278060
-0.0000100 0.4219050 0.1666070 ; 0.0084330 0.4215860 0.1666290
0.0092800 0.4036200 0.0262480 ; -0.0000100 0.4219050 0.1666070
-0.5549620 -0.4631460 -0.7321560 ; -0.5625830 -0.4404880 -0.7261430
-0.5550450 -0.4561250 -0.6599610 ; -0.5549620 -0.4631460 -0.7321560
-0.5625830 -0.4404880 -0.7261430 ; -0.5550450 -0.4561250 -0.6599610
-0.5624260 -0.4334900 -0.6619420 ; -0.5550450 -0.4561250 -0.6599610
-0.5625830 -0.4404880 -0.7261430 ; -0.5624260 -0.4334900 -0.6619420
-0.5356870 -0.4767780 -0.7327340 ; -0.5549620 -0.4631460 -0.7321560
-0.5357130 -0.4701130 -0.6587390 ; -0.5356870 -0.4767780 -0.7327340
-0.5549620 -0.4631460 -0.7321560 ; -0.5357130 -0.4701130 -0.6587390
-0.5550450 -0.4561250 -0.6599610 ; -0.5357130 -0.4701130 -0.6587390
-0.5118250 -0.4701130 -0.6587390 ; -0.5118510 -0.4767780 -0.7327340
-0.5357130 -0.4701130 -0.6587390 ; -0.5118250 -0.4701130 -0.6587390
